Doctor Name,Specialization,Clinic Location,Fees,Phone,Email,Rating
Adam Smith,Surgeon,Ellenstad,6490,999.910.0839,martinjonathan@example.net,4.3
Justin Quinn,Surgeon,South Shane,6680,651-418-8561x452,omoore@example.com,2.1
Amanda Jones,Pediatrician,West Jose,6680,001-916-894-6190x88530,nicoleburgess@example.com,2.8
Brian Mcbride,Dermatologist,East Keithstad,5490,-1958,wardandrew@example.org,1.8
Louis Humphrey,Cardiologist,West Cameron,5750,+1-527-406-9605x396,tayloralan@example.com,1.5
Amy Mccullough,Neurologist,Andrewberg,8540,+1-305-830-7505x29455,bromero@example.org,2.8
Joel Ramos,Cardiologist,New Shelleyberg,2970,810.817.6734,wibarra@example.org,4.1
Colin Thompson,Surgeon,Mercerfurt,2390,833.479.3841x05097,craigortega@example.org,2.2
Cynthia Cole,Cardiologist,Julieborough,9800,894-513-6665x879,samantha77@example.com,2.3
Bruce Short,Dermatologist,Katherinebury,6680,231.615.1867,jennifer64@example.org,2.5
Eric Jensen,Neurologist,Sharonville,1640,810.598.3173x258,qshelton@example.org,3
Victor Nash,Dermatologist,Luisshire,1530,824.760.3287x49352,ericgomez@example.net,3.6
Paul Bell,Pediatrician,South Josephtown,9700,(514)404-5074,katiejones@example.com,2.9
Arthur Harrington,Surgeon,Josechester,1010,629.499.7058x5840,pearsonkelly@example.com,2.3
Susan Wood,Cardiologist,Hopkinsfurt,2400,698.624.6080x77479,nicolemoss@example.net,1.5
David Hale,Dermatologist,Shanefort,1280,(960)641-1969x7464,hansenrobert@example.net,1.8
Shannon Christensen,Cardiologist,Michaelstad,2060,(712)858-5735,emily37@example.com,2.6
Gregory Ferguson,Dermatologist,Whiteheadburgh,7850,416.375.4583x86064,doriscollins@example.com,3.2
Christine Church,Neurologist,New Mark,8280,5418330323,zmartinez@example.net,2.7
Andrea Gutierrez,Pediatrician,West Deborah,4230,+1-770-659-8254x87261,laura64@example.com,2.6
Timothy Benson,Neurologist,Fowlerbury,2480,984-341-8070x729,nray@example.org,2.3
Diane Flores,Dermatologist,Lake Jeffrey,6550,001-886-456-6120x166,zroberts@example.net,3
Lawrence Smith,Pediatrician,North Elizabeth,6260,(376)902-8768x58062,xnguyen@example.com,1.9
Bailey Hartman,Neurologist,Michellestad,2010,891.429.3801x3181,meganpearson@example.com,3.7
Matthew Gonzales,Pediatrician,Reidshire,2210,353.367.3803x96647,rollinstiffany@example.net,4.6
Steven Allen,Dermatologist,Tonitown,1490,418-305-6713,hartjason@example.com,2.7
William Kelly,Surgeon,Lake Melissamouth,5020,001-257-388-0707,stephanie15@example.net,4.6
Christopher Taylor,Dermatologist,West Steven,1360,(297)240-2087,gallaghersydney@example.net,2.5
Tara Washington,Dermatologist,Port Raymondside,3070,001-559-233-3623,mstewart@example.net,1
Zachary Fisher,Cardiologist,East Nicole,5400,405-645-3840x550,pellison@example.org,4.5
Jeffrey Mitchell,Dermatologist,New Jamie,3990,(331)716-3891x893,qwilliamson@example.net,4.5
Jennifer Fry,Cardiologist,Freemanchester,8660,(932)573-8344,williamsjames@example.com,2.7
Sharon Henderson,Pediatrician,Lake Amanda,7560,385.561.3685x139,dvaughan@example.org,1.9
April Murphy,Pediatrician,Floresburgh,2290,582.603.0813x07582,scollins@example.com,3.1
Christine Knapp,Cardiologist,New Veronica,6630,9269602094,marcus66@example.net,1.9
Angela Hendricks,Neurologist,West Miguel,8170,968.710.2249,mitchellmichael@example.net,1.4
Debra Moyer,Surgeon,North Victoria,1330,963.489.8652,hortonsusan@example.com,4
Deborah Bailey,Pediatrician,Phillipton,7510,001-794-791-8894x805,christian48@example.net,1.7
Jonathan Johnson,Neurologist,West Alexismouth,6140,(990)247-2804x82787,hurleychristopher@example.net,2.1
Steven Lindsey,Dermatologist,New Mary,9750,667.854.4465x43711,andrea97@example.com,2.6
Jason Monroe,Dermatologist,West Ryanside,1760,(893)368-6430x3305,ewebster@example.net,2.8
Michael Stevens,Pediatrician,Alexandermouth,1000,+1-290-802-1788x944,tbutler@example.net,1.4
Dan Guzman,Surgeon,Martinezbury,8480,690-300-9722,ericjames@example.com,4
Michael Williams,Surgeon,East Joel,1310,364.826.1913x89826,scott61@example.net,4.9
Anna Ingram,Dermatologist,Greeneton,2530,466.516.8758,wgraves@example.com,1.7
Mike Hill,Pediatrician,North Michelle,1100,614-316-9512,dwayne04@example.net,2.6
Justin Frank,Cardiologist,Lake Bettyfurt,3250,-8041,arthurallen@example.com,3.8
Michael Chandler,Neurologist,East Alyssa,2670,(618)719-5491x1558,williamwalsh@example.net,4.5
Hector Wiggins,Surgeon,Lake Jamieshire,5300,(866)219-7527,bowmanpatrick@example.com,1.2
Kathleen Smith,Surgeon,Lake Mike,8320,6757177708,meghanserrano@example.org,1.8
Douglas Edwards,Surgeon,North Manuel,9320,346-551-7001x64499,wardmargaret@example.com,2.9
Courtney Mitchell,Surgeon,Lake Daniel,7830,(708)384-6643x729,tmaldonado@example.org,3.4
David Edwards,Pediatrician,Port Jacqueline,6170,+1-908-649-6235x3684,johnsonjermaine@example.com,1.2
Nicole Marsh,Surgeon,New Christyfort,8770,(767)512-9933,millerdavid@example.org,1.1
Ryan Perez,Dermatologist,Markchester,9560,989-782-3567,christina68@example.org,2.3
Lauren Miller,Surgeon,West Cynthiamouth,2840,259.759.1125x67057,heidi44@example.org,3.3
Larry Williams,Pediatrician,Vanessastad,3220,+1-855-765-8584x83906,eoneill@example.net,2
April Burns,Pediatrician,Port Angela,4530,001-967-475-7199x9607,fletcherkaren@example.com,2.7
Regina Davis,Pediatrician,New Anthony,2190,417-500-5769x9158,swalker@example.com,1.4
Morgan Brown,Surgeon,Brookeshire,6310,442-299-4778x54742,johngilbert@example.com,4.2
Lisa Mclean DDS,Surgeon,Fordstad,2850,493.518.4346x78449,ikelly@example.com,1.9
Cassidy Holland,Dermatologist,Jamesstad,6970,4368873078,nwhite@example.com,1.9
Laura Page,Pediatrician,West Misty,5440,355.331.1817x592,raymond10@example.org,5
Amanda Phillips,Dermatologist,West Cindyside,6880,001-712-365-8980,dyoung@example.org,4.8
Lynn Torres,Neurologist,Gordonbury,1620,(480)591-4793,jordan55@example.com,1.2
Courtney Brown,Surgeon,Anaport,6770,+1-352-839-9454x0457,jamiebrown@example.org,4.3
William Mercer,Surgeon,Kevinchester,9340,533.576.9417,christopherburns@example.com,1.9
Richard Harper,Neurologist,Maryton,3330,+1-648-368-7217x802,brittney59@example.net,3.9
Matthew Summers,Neurologist,East Theresafort,2990,-1782,francisco29@example.net,1
Penny Mullen,Dermatologist,Lopezberg,5360,953.269.4863x256,hpatel@example.com,2.7
Katherine Livingston,Neurologist,Martinport,1340,(925)856-8188,tgrant@example.net,2.2
Cheryl Elliott,Surgeon,South Manuel,9630,+1-599-988-5467x864,linda27@example.org,2.1
Elizabeth Rodriguez,Pediatrician,New Laurentown,2950,500.807.0710,joshua33@example.org,3.3
Shelby Gonzalez,Surgeon,Craighaven,5320,789.551.6788x307,donnagarcia@example.com,2.1
James Peterson,Neurologist,West John,3400,545.769.0899,rdelacruz@example.org,2.9
Dr. Jack Acevedo,Surgeon,Jameschester,5210,(975)350-4152x49693,evansteresa@example.org,4.5
Paul Hall,Cardiologist,Jacksontown,3970,903.908.5287,blakesylvia@example.net,2.6
Veronica Smith,Pediatrician,Stuartberg,6110,221.757.2864,emily00@example.com,4.2
Angela Long,Surgeon,Jasminestad,4940,001-718-817-3520x999,jensenjason@example.com,2.7
Kristen Blair,Cardiologist,North Matthewchester,3460,(826)912-1429,vsanders@example.org,4.3
Taylor Garcia,Cardiologist,Hardingborough,7580,336.408.4330x080,hinesamy@example.org,1.3
